Exercise,Gender,Age,Height,Weight,Like_1,Hate_1
0,Male,26,182,55,도토리 묵,애호박
0,Male,57,158,42,비엔나소시지,크래커
2,Female,52,142,68,멸치,참기름
2,Female,60,188,82,참기름,검정콩
1,Male,42,153,48,귤,참기름
2,Female,38,155,86,땅콩,오렌지
2,Male,53,144,62,연근,애호박
1,Male,53,149,45,삶은 국수,애호박
0,Female,29,188,60,땅콩,참기름
2,Female,21,180,89,햄(로스),바나나
0,Female,56,163,76,어묵(튀긴 것),땅콩
2,Male,38,176,88,당근주스,가자미
0,Male,48,163,59,우유,느타리 버섯
2,Female,47,145,79,애호박,우유
2,Male,31,184,48,오이,감자
0,Male,46,169,73,땅콩,마른국수
1,Male,50,180,93,베이컨,닭고기(닭다리)
0,Male,56,189,60,가래떡,키위
1,Male,49,171,68,삶은 국수,치즈
2,Male,56,164,94,강냉이(옥수수),미숫가루
2,Male,54,150,86,우유,감자
2,Female,37,186,45,느타리 버섯,우유
2,Female,40,173,78,유부,고구마
0,Male,27,162,42,참기름,토마토
1,Female,31,172,82,토마토,사과
2,Female,31,162,48,우유,비엔나소시지
0,Male,54,178,91,우유,수박
1,Female,22,189,68,우유,오렌지
0,Male,20,160,97,연근,우유
0,Female,28,140,70,인절미,잡곡밥
1,Male,29,163,48,수박,우유
2,Male,30,169,70,고등어,우유
2,Male,22,164,71,참기름,땅콩
0,Male,26,171,79,돼지고기,토마토
1,Female,36,186,83,동태,참기름
0,Male,30,151,59,애호박,표고버섯
1,Female,37,184,63,완두콩,애호박
2,Female,48,167,63,오렌지,마른국수
1,Male,37,189,78,딸기,참기름
2,Female,53,162,82,뱀장어,땅콩
2,Female,43,156,59,참기름,참기름
2,Male,20,180,50,강냉이(옥수수),오렌지
1,Female,30,181,76,고구마,애호박
2,Female,38,176,50,느타리 버섯,연근
1,Male,22,145,59,우유,표고버섯
2,Male,47,145,57,참기름,우유
0,Female,35,152,92,땅콩,쇠고기
2,Female,35,156,96,참기름,어묵(튀긴 것)
1,Female,55,185,77,어묵(튀긴 것),새우(중하)
0,Male,56,189,83,우유,우유
0,Male,24,189,68,콘플레이크,느타리 버섯
1,Male,45,151,40,고등어,애호박
0,Male,29,155,70,땅콩,굴
1,Female,27,173,51,땅콩,참기름
0,Male,25,142,62,느타리 버섯,낫또
0,Female,27,162,64,참기름,곶감
2,Female,46,141,66,완두콩,인절미
1,Female,21,148,54,우유,표고버섯
0,Female,58,147,60,우유,감자
0,Male,52,163,91,오렌지,우유
2,Male,35,179,97,유부,오렌지
2,Male,58,177,76,곶감,땅콩
2,Female,33,168,92,고구마,크래커
1,Female,60,155,76,느타리 버섯,우유
2,Female,26,183,55,잡곡밥,감자
0,Male,56,157,85,참기름,당근
1,Female,51,141,67,땅콩,오렌지
0,Female,30,151,97,키위,땅콩
1,Male,41,152,48,갈치,사과
1,Female,37,154,85,배,양념갈비
2,Female,41,144,62,우유,우유
1,Female,42,149,44,인절미,오이
2,Male,48,174,88,우유,우유
2,Female,20,180,88,꽁치,강냉이(옥수수)
0,Male,56,162,75,두부,땅콩
2,Male,37,176,87,참기름,참기름
0,Male,59,176,74,삶은 국수,바나나
0,Female,58,158,95,우유,완두콩
1,Male,31,183,48,우유,시금치
0,Male,45,155,73,감자,당근주스
1,Male,39,166,92,당근주스,표고버섯
0,Male,56,189,60,찜갈비,토마토
1,Male,38,157,67,참치통조림,뱀장어
1,Male,55,164,77,새우(중하),갈치
2,Male,54,149,85,우유,물오징어
2,Female,37,185,44,느타리 버섯,우유
1,Male,39,159,61,연근,도토리 묵
0,Male,27,162,85,키위,당근
0,Female,30,158,65,북어채,돼지고기
1,Male,51,185,92,잡곡밥,참기름
1,Female,32,165,60,고구마,새우(중하)
0,Male,52,163,53,마른국수,양념갈비
0,Female,50,147,81,우유,백미
1,Male,47,163,82,도라지,오이
0,Male,37,173,76,새우(중하),완두콩
0,Female,50,142,98,땅콩,딸기
1,Female,52,151,55,딸기,배
0,Female,56,144,63,우유,참기름
0,Female,25,173,68,우유,인절미
2,Female,60,188,43,감자,잡곡밥
1,Female,46,157,92,땅콩,완두콩
1,Male,26,154,47,찜갈비,당근주스
0,Female,27,162,62,참치통조림,배
